Diet,Clone,Infection,sample.size.total
M,Mid37,Exposed,9
M,Mid37,Infected,1
M,Mid37,Uninfected,10
M,Standard,Exposed,9
M,Standard,Uninfected,9
M+,Mid37,Exposed,7
M+,Mid37,Infected,2
M+,Mid37,Uninfected,10
M+,Standard,Exposed,9
M+,Standard,Infected,1
M+,Standard,Uninfected,9
S,Mid37,Exposed,5
S,Mid37,Infected,5
S,Mid37,Uninfected,10
S,Standard,Exposed,8
S,Standard,Infected,1
S,Standard,Uninfected,10
SM,Mid37,Exposed,5
SM,Mid37,Infected,5
SM,Mid37,Uninfected,10
SM,Standard,Exposed,10
SM,Standard,Uninfected,9
