Diet,Clone,Infection,sample.size.total
M,Mid37,Exposed,7
M,Mid37,Infected,1
M,Mid37,Uninfected,5
M,Standard,Exposed,4
M,Standard,Uninfected,8
M+,Mid37,Exposed,6
M+,Mid37,Infected,2
M+,Mid37,Uninfected,10
M+,Standard,Exposed,5
M+,Standard,Infected,1
M+,Standard,Uninfected,9
S,Mid37,Exposed,4
S,Mid37,Infected,5
S,Mid37,Uninfected,7
S,Standard,Exposed,7
S,Standard,Infected,1
S,Standard,Uninfected,6
SM,Mid37,Exposed,4
SM,Mid37,Infected,5
SM,Mid37,Uninfected,8
SM,Standard,Exposed,8
SM,Standard,Uninfected,8
